"sensitivity(wavelength), created by Plot Digitizer, 2.6.12"
"Date: 16/10/25, 17:10:47"


77
wavelength,sensitivity
300,0.0161290,
301.105,0.0161290,
302.651,0.0204301,
303.977,0.0268817,
305.302,0.0397849,
306.628,0.0548387,
308.175,0.0720430,
309.721,0.0935484,
311.489,0.121505,
312.814,0.145161,
314.140,0.170968,
315.907,0.196774,
317.454,0.216129,
319.000,0.235484,
321.210,0.256989,
323.640,0.276344,
326.070,0.291398,
328.279,0.310753,
330.710,0.332258,
332.919,0.353763,
334.907,0.373118,
336.896,0.394624,
338.442,0.416129,
340.652,0.441935,
342.419,0.467742,
344.408,0.493548,
346.396,0.515054,
348.384,0.540860,
350.373,0.566667,
352.582,0.598925,
355.012,0.626882,
357.443,0.652688,
359.652,0.674194,
361.640,0.695699,
363.629,0.704301,
365.838,0.717204,
368.048,0.730108,
370.699,0.738710,
373.792,0.740860,
376.222,0.738710,
377.990,0.730108,
379.978,0.721505,
381.745,0.706452,
383.513,0.691398,
385.059,0.674194,
386.164,0.661290,
387.490,0.641935,
388.373,0.629032,
389.478,0.613979,
390.804,0.588172,
392.571,0.555914,
394.118,0.530107,
395.885,0.493548,
397.211,0.463441,
398.757,0.429032,
399.862,0.405376,
401.188,0.375269,
402.513,0.347312,
403.839,0.317204,
404.943,0.300000,
406.490,0.269892,
408.699,0.220430,
410.467,0.192473,
411.571,0.175269,
412.676,0.151613,
414.885,0.125806,
417.537,0.0978495,
419.967,0.0698925,
422.397,0.0505376,
424.606,0.0419355,
427.700,0.0290323,
431.014,0.0161290,
434.107,0.0118280,
437.421,0.00752688,
440.514,0.00322581,
444.490,0.00322581,

