"transmission(wavelength), created by Plot Digitizer, 2.6.11"
"Date: 3/18/25, 10:51:33 AM"


121
wavelength,transmission
300,0.0469609,
305.954,0.0509594,
310.858,0.0572692,
314.711,0.0643604,
320.315,0.0744715,
324.168,0.0817612,
329.422,0.0882065,
335.026,0.0924229,
340.280,0.0974077,
344.483,0.103867,
349.387,0.116048,
354.291,0.128904,
360.245,0.142350,
365.499,0.150906,
370.753,0.157200,
374.956,0.160913,
380.560,0.166648,
384.764,0.171583,
389.317,0.175636,
394.221,0.180837,
400.525,0.187282,
405.079,0.192828,
410.683,0.199701,
415.937,0.205615,
420.490,0.211704,
424.343,0.215443,
429.247,0.220533,
434.851,0.224428,
440.806,0.229729,
445.359,0.233788,
450.613,0.237917,
455.517,0.240711,
460.420,0.244963,
465.324,0.247839,
470.928,0.249290,
475.832,0.252217,
480.736,0.252217,
485.990,0.253693,
490.543,0.255179,
495.096,0.258175,
500,0.258175,
504.553,0.258175,
510.858,0.258175,
515.412,0.256672,
520.666,0.256672,
525.919,0.256672,
530.823,0.256672,
535.377,0.258175,
540.630,0.259686,
545.884,0.259686,
550.788,0.259686,
555.692,0.258175,
560.595,0.256672,
565.849,0.255179,
570.053,0.255179,
575.306,0.256672,
579.860,0.261206,
585.114,0.264273,
590.718,0.268941,
595.271,0.270516,
600.175,0.273692,
604.378,0.272099,
609.632,0.268941,
615.587,0.267376,
619.790,0.262735,
624.343,0.256672,
629.597,0.252217,
635.201,0.250749,
640.455,0.247839,
645.359,0.249290,
650.963,0.247839,
655.867,0.249290,
660.070,0.247839,
664.273,0.249290,
670.228,0.250749,
674.431,0.249290,
680.385,0.247839,
685.639,0.249290,
690.893,0.250749,
695.797,0.250749,
700.701,0.255179,
705.954,0.262735,
710.858,0.273692,
715.412,0.288454,
720.315,0.302242,
724.869,0.313014,
730.823,0.333770,
735.026,0.351772,
740.630,0.366442,
745.884,0.379502,
750.788,0.393028,
755.341,0.407036,
760.595,0.416650,
765.149,0.424010,
769.702,0.428989,
775.306,0.431500,
780.560,0.441693,
785.464,0.449495,
790.018,0.449495,
794.571,0.446879,
800.525,0.452126,
804.028,0.454773,
809.282,0.460113,
815.587,0.462806,
820.490,0.462806,
825.744,0.462806,
830.998,0.465515,
835.552,0.468240,
840.105,0.473738,
845.709,0.476512,
850.263,0.476512,
854.816,0.476512,
860.420,0.479301,
865.674,0.479301,
870.578,0.482107,
875.832,0.484929,
880.385,0.484929,
885.289,0.487768,
890.193,0.487768,
895.096,0.487768,
900,0.484929,
